Unnamed: 0,Albania,Advanced Economies,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Botswana,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,Gabon,Georgia,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,"Korea, Rep.",Kuwait,EMDE Latin America & Caribbean,Lebanon,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Myanmar,Mongolia,EMDE Middle East & N. Africa,Mauritius,Malawi,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Seychelles,Thailand,Tunisia,Turkey,"Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),Samoa,South Africa,Zambia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993M12,119.2234,214949.5,1666.0,,3692.902,4099.854,,17.64,10066.65,,,,,,23.42,102.7357,2556.0,375.0361,862.6,17562.87,,287.5557,,1509.194,29650.98,6.588858,2794.0,,,30555.13,14387.3,1161.9,223387.2,6775.857,107.3479,1810.503,16615.0,93.83645,,,319.9331,407321.5,12436.72,,363.6534,1718.216,2821.5,2255.0,1809.705,1806.825,116.9759,1797.5,12958.55,203.57,408.2742,19541.02,,154.861,,7454.261,605.9649,15229.5,,128.07,,294.3349,895.4465,,699.988,,16.6,5898.7,155658.3,,70.85,,,,47.05,4108.131,612.2748,60.8,,2140.546,827.9645,,,209.0,440.16,1573.0,1747.334,2027.411,,,545.5,3783.691,3011.174,,7857.462,194.4,,715.502,391.7892,3663.888,21.30048,3966.568,512.965,3364.0,,63.38,,230.006,48719.2,732.0,398.1385,456402.0,10.508,,57.24948
1994M01,28.15973,197662.0,1578.0,,3386.593,3398.143,,17.61,9401.978,,,,,,19.8,103.3821,1769.0,243.6588,796.6,5770.696,,295.8,,706.4814,25840.04,5.38614,2502.0,,,17903.99,10475.09,752.8,153557.0,5243.462,107.4281,1573.214,16241.0,56.58626,,,185.1214,372498.0,10404.92,,134.602,910.9798,2112.2,1878.0,1866.729,977.9696,69.64158,1945.5,11448.5,136.14,237.2239,20011.34,,171.5174,,7530.271,615.8373,13072.19,,115.53,,293.1797,605.6875,,562.8098,,21.5,5552.0,106277.0,,65.44,,,,40.64,3911.591,247.4753,65.6,,1777.504,694.087,,,177.7,377.97,1645.4,1255.81,1819.133,,,447.3,3415.0,2517.928,,7340.925,171.0,,471.889,257.0183,3372.45,16.45017,3969.759,465.0962,2154.0,,57.28,,192.079,46514.1,414.0,398.2656,393968.0,5.109,,41.01965
1994M02,31.75874,200905.1,1487.0,,3155.243,4074.493,,13.07,9727.089,,,,,,19.93,104.0286,2030.0,264.7526,635.3,5966.837,,293.0,,1028.299,27529.41,9.075997,2586.0,,,17741.14,10621.54,631.1,156309.5,6248.184,91.28584,1410.575,16281.0,53.34309,,,231.3258,378324.6,10256.73,,304.1787,987.9118,2245.9,1874.0,2047.584,1161.404,87.74745,1773.6,12243.84,162.58,238.2693,19216.65,,144.9068,,6709.163,616.676,13948.37,,110.32,,242.8633,611.7395,,589.0942,,18.7,6035.6,107870.0,,57.76,,,,30.78,3918.577,262.4167,68.3,,1949.903,786.6799,,,155.6,357.25,1348.0,1304.974,2006.529,,,445.4,3804.0,2508.914,,6491.67,170.7,,516.797,304.863,3656.679,16.87475,3737.787,436.9921,1752.0,,66.47,,177.454,46653.7,696.0,434.2445,400547.5,6.738,,33.55109
1994M03,40.22732,239450.8,1850.0,,4160.181,4784.15,,17.55,11517.53,,,,,,21.3,104.675,2249.0,329.7084,953.7,8731.164,,318.0,,1231.858,33127.52,8.91099,3159.0,,,22640.33,12078.73,741.0,187065.9,7305.812,130.8653,1848.054,19392.0,56.2253,,,245.8072,451266.7,12453.3,,262.4237,1127.898,2619.0,2407.0,2235.524,1254.047,93.82064,1898.9,14666.62,184.86,258.3398,22637.67,,166.8263,,8330.597,608.4811,15878.34,,113.7,,307.701,763.0153,,725.8054,,14.1,6485.5,128656.2,,83.18,,,,38.44,4472.825,293.0193,76.3,,2521.074,909.9621,,,215.8,423.27,1585.5,1697.885,2425.376,,,524.3,4097.0,3209.348,,7931.017,183.7,,532.732,413.2942,4358.132,19.781,4707.399,520.9591,1981.0,,57.71,,206.307,54662.7,854.0,401.9509,477777.2,7.033,,40.49462
1994M04,52.25244,224038.7,1752.0,,3603.381,4438.319,,12.84,10225.94,,,,,,18.06,105.3214,2152.0,246.7237,800.1,9409.097,,283.0,,1053.444,29243.89,8.783954,2681.0,,,23041.71,11191.54,1048.3,181744.1,7556.962,116.6518,1831.284,16979.0,52.44863,,,263.1665,422406.0,13188.42,,391.1051,1112.355,2326.1,2025.0,2117.387,998.2723,104.4578,2021.0,12836.33,153.17,274.8415,22054.37,,155.9988,,8097.401,581.8176,14868.89,,109.91,,353.1927,682.3381,,717.4013,,17.1,6074.3,125450.9,,55.71,,,,30.44,4883.589,339.283,69.0,,2238.279,783.1655,,,197.9,408.36,1770.9,1621.954,2136.217,,,564.3,3697.0,2706.955,,8680.303,214.6,,440.506,364.0023,3949.211,17.99821,4108.668,598.0295,1725.0,,66.63,,207.101,51471.7,760.0,449.0793,450358.1,5.713,,38.84681
1994M05,43.04711,232660.2,1741.0,,4020.296,4299.063,,18.82,10350.62,,,,,,21.77,105.9679,2625.0,266.2537,936.1,9444.879,,324.9,,1255.385,31960.39,8.042268,2987.0,,,23283.13,11612.17,513.9,186837.9,7144.155,129.5867,2174.361,18373.0,52.82266,,,307.8853,438923.3,13499.09,,281.967,1184.802,2642.8,1946.0,2117.568,1051.334,112.6402,2232.1,13858.45,201.38,242.5012,21444.61,,181.3537,,8491.948,562.6315,16336.2,,139.03,,188.7048,653.9637,,810.6462,,13.5,6607.1,128450.8,,79.14,,,,45.85,4558.487,401.2078,71.0,,2015.796,991.8282,,,166.0,453.73,1765.9,1795.135,2541.056,,,534.6,4097.0,2597.463,,8420.895,227.2,,530.335,397.687,4247.495,15.13303,4327.138,564.4054,1448.0,,74.36,,238.748,52986.7,760.0,424.8038,466746.3,6.787,,32.08592
1994M06,47.33888,245816.8,1836.0,,3981.984,4630.326,,18.86,11689.56,,,,,,25.31,106.6143,2499.0,307.1166,904.3,9856.919,,315.1,,1336.911,32262.3,6.972683,3128.0,,,25055.0,12425.6,639.7,196267.1,8392.724,124.7872,1937.802,20195.0,58.18806,,,242.5132,463329.8,14325.49,,407.2024,1204.91,2806.8,2043.0,2120.906,917.1323,124.7566,1905.9,14796.89,164.47,301.8567,22790.57,,149.401,,8318.584,541.488,16447.8,,135.83,,234.696,737.9245,,778.3931,,15.5,6936.6,135742.6,,83.36,,,,44.46,4851.132,478.7937,90.9,,2222.267,897.1086,,,219.5,407.86,2024.3,1841.567,2415.13,,,568.4,4297.0,2728.695,,8557.022,221.1,,571.651,432.4958,4340.788,15.15279,4858.464,582.569,1781.0,,72.51,,234.653,57138.9,686.0,531.747,492576.5,6.554,,42.90231
1994M07,47.70039,233951.5,1776.0,,4248.527,4448.153,,23.86,9294.071,,,,,,21.78,107.2607,2514.0,278.9068,938.7,9623.109,,337.5,,1195.586,32363.64,7.271998,2621.0,,,24153.86,11481.57,1046.8,189660.0,7293.786,113.7178,1916.815,18234.0,66.12258,,,261.935,441078.7,14149.22,,499.3974,1160.303,2643.5,2199.0,1986.018,873.4736,99.91256,1739.2,13427.64,162.8,264.2703,22430.0,,167.6726,,8370.083,496.5893,15728.49,,148.43,,220.6076,692.3626,,698.156,,16.1,6302.6,131029.7,,70.41,,,,47.81,5033.566,572.0407,56.6,,2330.438,1035.437,,,177.4,426.68,1766.7,1804.705,2393.356,,,505.5,3876.0,2936.28,1531.53,8974.306,216.4,,534.549,404.1823,3092.059,20.96157,4454.531,506.6465,1606.0,,76.76,,216.482,54806.9,722.0,520.0107,470222.3,7.596,,35.69963
1994M08,48.06189,234305.8,2103.0,,4931.464,3989.027,,23.69,10026.09,,,,,,23.82,107.9071,2776.0,305.4563,1048.2,10038.07,,345.0,,1266.541,30686.45,7.956923,2975.0,,,25448.75,12708.57,1025.3,203870.4,5727.38,115.498,2064.061,15756.0,68.7044,,,320.2723,443499.4,14192.12,,457.639,1377.481,2756.1,2323.0,2056.442,787.3247,126.6027,2009.3,9508.092,196.82,328.9688,25145.15,,168.9432,,8602.187,487.8792,17498.9,,145.22,,226.1525,651.8806,,551.4237,,21.4,6988.7,140289.7,,71.21,,5513.435,,40.95,5541.04,680.9488,88.5,,2298.775,1080.012,,,226.0,506.4,1726.9,1770.788,1841.702,,,693.7,4182.0,3107.676,1868.02,9105.543,235.3,,561.723,338.4091,4203.784,15.57234,4776.693,464.5185,1890.0,,80.58,,272.01,59303.5,603.0,495.041,477994.9,7.413,,38.76087
1994M09,48.4234,258016.3,1766.0,,4457.44,5103.619,,20.06,11855.94,,,,,,20.91,108.5536,2641.0,322.6411,975.5,9215.561,,317.6,,1415.394,34187.72,8.080929,3521.0,,,24956.09,12936.95,813.5,198506.2,8550.845,139.0755,2146.382,20452.0,53.57369,,,265.5768,485567.6,14696.39,,412.9526,1210.67,2857.1,2440.0,2344.273,841.3675,106.0299,1444.3,16519.61,195.35,322.4282,24302.23,,212.3512,,8841.371,493.56,16263.6,,170.74,,321.4552,740.0624,,591.1203,,19.0,6567.2,137678.9,,83.78,,5049.12,,69.27,5563.744,805.5181,68.6,,2487.334,1085.967,,,211.0,491.8,1966.4,1924.266,2469.15,,,546.7,4491.0,3259.587,1469.623,9175.151,227.0,,552.408,418.8583,4806.745,15.58932,4720.746,517.5211,1920.0,,81.41,,258.896,58879.4,607.0,505.9772,513183.6,7.199,,32.65833
1994M10,48.7849,266072.1,1840.0,,4643.129,5023.563,,22.0,11714.58,,,,,,22.9,109.2,3186.0,341.7759,942.5,9407.535,,304.1,,1353.666,34872.29,7.648405,3435.0,,,24979.25,13095.31,809.9,205889.7,8593.933,149.2628,2169.934,20982.0,55.60624,,,259.4177,501280.7,15034.07,,516.8136,1292.066,2857.3,2622.0,2531.972,794.8703,165.1023,2237.3,15953.74,209.62,331.862,25533.21,,216.9008,,9123.237,523.0158,17611.38,,128.0,,196.0352,765.6109,,687.9219,,19.0,7190.1,142295.9,,79.58,,5562.286,,31.94,5506.066,945.7484,71.3,,2605.185,1168.273,,,220.4,508.47,1883.6,2035.743,2664.66,,,559.6,4269.0,3500.842,1782.583,9274.526,216.0,,618.419,440.0058,5235.824,16.54896,4673.663,632.1333,2060.0,,74.06,,238.103,61969.8,625.0,529.3209,529807.5,6.567,,36.64542
1994M11,49.14641,269103.7,1892.0,,4836.977,5184.484,,21.71,11942.07,,,,,,22.5,118.1,4115.0,374.6832,982.1,10307.84,,354.6,,1572.248,34877.21,9.255066,3514.0,,,25980.54,14888.41,1012.0,220437.7,8219.364,160.685,2325.903,21771.0,61.19555,,,308.1858,507972.0,15146.95,,729.1132,1464.553,2757.8,2404.0,2627.579,937.4991,122.2051,2071.5,16704.44,183.9,250.6327,25708.11,,216.5751,,9603.408,550.4402,19572.04,,135.15,,345.0446,970.0286,,813.0451,,22.9,7607.4,151874.5,,74.43,,5702.355,,36.36,5403.378,1101.64,72.8,,2348.899,1427.745,,,214.7,573.74,1859.7,2230.174,2865.812,,,912.9,4766.0,3217.036,1570.649,9168.35,221.5,,640.133,492.8219,5097.79,19.51238,4997.153,568.0886,2248.0,89453.0,77.08,,253.762,61334.0,797.0,536.0902,542031.7,7.109,,42.84805
1994M12,49.50791,269027.4,1970.0,,4517.599,5771.102,,14.46,11864.78,,,,,,20.8,120.1,4523.0,302.9001,937.2,17916.09,,299.8,,1583.948,37240.89,8.959998,3501.0,,,34933.85,16432.86,1184.4,459404.7,9322.639,173.0962,3124.835,20746.0,72.69802,,,320.5262,508498.1,14426.9,,585.1585,1523.355,3364.0,2681.0,2357.827,1200.306,126.2648,2090.7,17746.35,213.25,328.8882,24488.72,,204.3486,,10640.44,585.2173,19410.38,,133.98,,324.2939,730.7684,,761.7753,,22.9,6998.8,325413.3,,81.77,,,,34.54,5971.579,1273.192,67.5,,2651.591,1059.782,,,222.1,563.68,1893.1,2226.583,2795.042,,,915.0,5462.0,3584.22,,9571.721,270.9,,652.977,465.7357,5645.845,16.50323,5117.075,687.3494,2705.0,245039.6,84.98,,290.511,57530.4,753.0,532.7637,764981.8,7.662,,40.03641
1995M01,49.86942,252081.0,1718.0,,4667.554,4394.784,,21.49,11761.1,,373.3876,,,,23.97,102.6,3284.0,246.1881,1049.5,6500.415,,370.2,,1575.324,32209.74,6.900137,3646.0,,,22128.7,11995.97,854.4,265898.0,7531.872,152.0691,1959.303,20942.0,59.11128,17.2789,,261.4653,474891.1,13556.35,,468.7259,927.8722,2739.8,2372.0,2583.389,1129.028,99.85941,2371.2,16276.42,197.1,284.8253,24516.63,,248.1464,,9003.363,649.6189,16899.45,,148.27,,344.3548,745.3899,114.2403,743.9244,,21.4,6240.1,186263.5,,104.57,,,,40.89,5283.329,2325.431,79.7,,2363.852,909.0464,,,185.8,591.49,1855.9,1908.796,2544.763,301.077,,568.9,3851.0,3172.629,,8436.216,250.4,,606.995,407.9725,4512.038,15.13416,5086.99,594.7487,2097.0,128585.8,85.89,,186.733,57292.9,758.0,519.4299,563444.3,6.717,,58.56905
1995M02,52.54136,256733.6,1630.0,,4141.454,5207.249,,17.32,12265.87,,416.2284,,,,19.86,104.5,4013.0,273.6632,1020.5,7122.576,,329.5,,1731.633,35098.15,10.70801,3522.0,,,22777.56,13604.48,697.7,222937.8,8537.223,148.654,2171.164,21014.0,77.37565,16.4178,,266.7008,484226.7,12899.33,,511.4079,1221.681,2964.2,2581.0,2484.323,947.5841,107.5208,2189.3,17172.98,189.51,256.6519,24177.78,,236.3742,,9934.461,682.3974,16663.9,,142.84,,364.113,734.8555,123.4108,682.1513,,20.6,5595.9,154805.7,,69.44,,,,35.92,5295.859,2492.011,66.7,,2426.348,1004.313,,,188.9,525.66,1616.1,1953.508,2549.733,300.368,,583.0,4581.0,3448.614,,8536.928,259.6,,611.985,441.7675,5024.105,17.75794,5062.41,486.779,2283.0,96890.59,89.6,,216.098,55217.1,652.0,608.0735,529157.8,6.425,,82.77823
1995M03,48.68086,306986.6,1891.0,,4971.589,6186.732,,21.31,14666.66,,404.5455,,,,21.24,126.9,4721.0,330.3282,1105.1,10241.55,,372.3,,2231.915,41985.07,9.72547,4165.0,,,28777.97,15744.54,943.8,242775.6,10722.03,201.9548,2522.109,24947.0,85.10988,65.1613,,354.6306,579326.0,15731.58,,610.0871,1550.021,3250.6,3012.0,3067.028,1149.197,141.0959,2389.5,21042.39,200.48,302.6339,30017.53,,207.0326,,11711.23,705.8248,19455.12,,165.16,,521.3068,930.8005,159.676,847.2745,,24.8,6354.0,167545.0,,90.72,,,,35.4,6021.54,2637.957,90.1,,3066.337,1202.616,,,238.0,679.17,2136.9,2371.12,3100.934,374.324,,945.1,4996.0,4025.504,,10321.53,258.3,,748.001,561.8307,5887.912,19.54784,6355.407,630.5355,2474.0,98970.73,108.45,,261.984,63583.6,909.0,632.5387,610517.0,7.681,,84.00341
1995M04,48.49239,280928.2,1485.0,,4230.982,5279.219,,23.28,12726.98,,435.6436,,,,19.54,104.6,3864.0,265.953,993.7,10278.85,,280.5,,2056.927,36142.38,13.9744,3403.0,,,27767.68,15038.42,862.5,256761.1,9604.537,168.6293,2474.672,21570.0,74.86486,14.8188,,297.1583,530014.0,15873.15,,556.6078,1342.384,3087.3,2467.0,2730.782,1099.962,113.8176,2151.0,18566.8,199.99,319.7457,30380.92,,174.1103,,11132.28,740.3978,15686.4,,130.0,,424.8863,800.2792,132.9291,798.5031,,22.4,4969.0,178679.9,,96.1,,,,35.07,6146.359,2763.27,56.2,,2546.622,1021.511,,,188.3,572.39,2229.6,2260.077,2921.097,330.302,,765.7,4426.0,3299.885,,9823.338,232.9,,670.228,495.4888,5207.943,18.72452,5174.124,718.7261,2985.0,114426.0,71.65,,207.202,59792.7,672.0,709.22,590987.5,6.535,,73.99974
1995M05,63.49627,298414.7,1722.0,,5021.023,5648.741,,18.74,13208.69,,434.6817,,,,23.46,184.3,4897.0,362.672,1225.2,11493.87,,352.6,,2249.143,38456.62,9.776377,4001.0,,,30541.71,15710.79,963.0,395549.3,10490.49,204.3517,2496.593,23577.0,95.30081,25.1329,,407.1066,563838.5,17249.22,,610.1616,1364.368,3267.0,3016.0,2938.208,1144.419,145.4439,2339.4,21116.79,241.5,256.4326,28169.47,,269.6695,,11855.08,729.7499,19576.6,,118.52,,433.9634,859.7741,138.1947,855.3038,,19.1,6036.8,278135.7,,120.7,,,,28.6,6495.861,2867.949,91.2,,2963.906,1368.152,,,213.4,677.2,2143.6,2574.592,3161.229,346.463,,943.8,4837.0,4023.25,,10702.4,335.0,,788.489,580.5647,5397.743,20.4425,6293.048,744.452,2584.0,203495.3,71.18,,274.44,63198.4,1042.0,677.6534,742416.7,6.433,,84.65792
1995M06,65.7023,301426.6,1573.0,,4724.996,5506.112,,19.57,14160.56,,463.6364,,,,22.29,116.2,4897.0,363.5452,1214.9,10955.73,,333.8,,2254.314,39796.19,6.358186,3992.0,,,31559.27,16931.51,1092.1,459662.9,10022.42,199.9991,2392.437,25006.0,90.95593,42.0195,,391.3839,569253.7,16669.26,,613.3284,1331.368,3964.2,2883.0,2787.419,1046.552,163.9395,2232.1,21495.52,259.07,365.6954,28671.8,,252.7709,,11880.52,694.3781,19423.76,,135.99,,455.1565,840.8595,140.5254,848.3543,,21.7,6026.8,324573.0,,110.0,,,,36.41,7265.16,2951.994,92.8,,2808.343,1091.117,,,225.8,639.94,2328.7,2586.299,2976.527,407.933,,936.7,5352.0,3850.396,,10548.16,295.2,,798.528,604.5152,5266.753,18.74919,6141.75,815.0683,3046.0,246318.5,80.01,,271.816,64090.5,1164.0,741.9572,806034.8,6.783,,80.64338
1995M07,67.90833,283996.9,1519.0,,4994.464,5325.569,,19.25,11095.89,,421.2121,,,,19.5,108.7,4003.0,310.5942,1361.6,11125.61,,362.8,,1990.571,37730.83,13.46861,3189.0,,,30688.5,16508.57,1009.1,367557.7,9023.09,175.1939,2199.475,22115.0,88.52461,26.8895,,329.8756,536553.1,17294.98,,713.8239,1227.593,3460.0,3086.0,2698.684,911.2243,123.6788,2467.2,19233.13,238.86,316.8539,28062.03,,329.0463,,11332.65,558.0873,17548.64,639.5016,144.88,,433.3458,781.8235,141.4923,910.1284,,16.8,5388.9,258242.1,,107.94,,,,37.11,6869.624,3015.406,82.1,,2327.047,1207.64,,,183.2,653.78,2175.5,2464.312,2822.87,426.32,,933.5,5461.0,4112.992,2177.519,11109.45,302.7,,674.616,542.7328,4209.59,21.74701,6140.389,636.5801,2876.0,185119.0,88.52,,218.771,61856.7,994.0,758.328,698256.6,7.352,,80.66876
1995M08,70.11436,271088.6,1744.0,,5074.672,4789.384,,26.69,11523.08,,409.3158,,,,24.63,117.4,4461.0,388.2025,1447.7,11578.66,,355.2,,2015.41,33821.66,7.566899,3650.0,,,31920.2,16076.3,999.4,314374.4,7785.364,189.3759,2302.684,18105.0,74.50394,30.391,,381.9581,512776.7,16948.29,,461.7701,1161.181,3806.9,3035.0,2683.684,884.2087,125.706,2371.8,12810.33,230.04,304.2438,28041.43,,332.5787,,11518.02,530.414,19967.06,659.9935,171.7,,487.5337,708.9354,149.1451,779.177,,27.0,6407.2,219039.8,,129.3,,7073.582,,47.34,7072.568,3058.185,83.2,,2702.11,1282.089,,,227.8,727.07,2273.6,2282.485,2102.046,368.359,,831.0,5149.0,4058.908,2324.269,11141.21,283.4,,699.244,390.9798,5455.015,20.52711,6328.441,591.8765,3192.0,144460.9,97.67,,218.519,64452.1,1355.0,674.8582,632278.2,10.369,,41.92487
1995M09,72.32039,291175.2,1655.0,,4734.012,5511.375,,16.46,13082.05,,439.7059,,,,19.22,101.5,3687.0,323.7228,1202.0,11292.48,,327.8,,2011.173,37611.62,9.126054,3905.0,,,30779.92,16252.27,1025.7,326026.5,10092.21,188.6538,2359.154,23036.0,62.82076,54.4897,,345.1526,549323.0,16925.92,,646.6793,1262.958,3847.1,3027.0,2859.862,809.7564,128.7526,1941.2,20183.73,274.94,310.6867,26851.13,457.0,269.5381,,11659.19,535.163,18079.68,594.7569,152.63,,449.3128,902.1605,160.6372,769.8777,,20.8,6076.5,227907.1,,122.55,,6932.908,,44.43,6848.997,3080.329,90.3,,2828.86,1207.658,,,197.4,649.86,2444.2,2427.083,2810.907,448.555,,796.6,5150.0,4040.085,2297.284,10324.47,264.4,,706.859,502.3611,5555.815,19.81409,5493.103,589.683,3066.0,155718.9,91.74,,233.257,63416.0,1115.0,678.6308,668199.2,8.977,,46.44441
1995M10,74.52641,310626.9,1752.0,,5265.261,5707.752,,19.28,13711.05,,498.0027,,,,23.02,119.7,4076.0,373.4203,1481.3,10971.08,,360.5,,2439.667,39755.55,9.630092,4227.0,,,30698.88,17709.24,1117.5,286624.2,10668.72,230.9668,2665.311,24671.0,75.01151,46.3123,,345.8902,586607.3,16976.61,,566.7906,1322.757,3391.4,2811.0,3246.219,899.141,149.6905,2390.8,20737.36,235.21,364.4181,29958.67,372.7,227.0914,,11771.87,630.3728,19513.31,668.5673,148.01,,567.6871,1049.483,173.9297,883.1268,,22.1,6628.1,198147.7,,148.21,,7468.433,,37.08,6920.745,3081.84,77.3,,3192.403,1250.538,,,215.8,650.6,2342.4,2856.577,3193.276,387.381,,881.8,5691.0,3755.484,2204.958,11288.78,277.6,,828.491,521.1314,6207.452,23.38302,6116.237,700.3493,3213.0,125011.2,91.65,,254.967,67389.6,1126.0,755.5221,655343.8,9.521,,44.64207
1995M11,76.73244,303231.5,1833.0,84.28,5018.202,5724.634,,16.29,13863.63,,423.2436,,,,23.75,121.4,4137.0,446.3061,1284.8,12045.4,,340.7,,2483.778,39203.89,11.12085,4172.0,,,31986.15,19073.46,1025.9,313038.7,10680.02,251.9779,2673.145,23878.0,74.19929,59.0844,,307.3522,573568.0,16161.16,,659.4906,1375.619,3371.1,3278.0,3593.712,966.4119,162.984,2499.5,20697.7,245.66,332.6957,28747.47,417.2,228.8737,,11920.31,656.4377,19175.87,556.7327,161.68,,546.3333,805.0378,182.425,938.6529,,27.1,6438.2,217332.8,,135.27,,7655.339,,48.77,6730.709,3062.717,87.6,,3069.188,1307.322,,,211.3,740.39,2414.7,2770.366,3183.828,358.39,,1009.6,6403.0,4381.155,2508.246,11112.82,289.1,,851.185,580.4371,6272.986,20.85593,6501.821,670.2624,3574.0,140860.8,96.62,,274.603,63576.5,1005.0,731.9571,670976.1,9.59,,44.63292
1995M12,78.93847,289215.5,1601.0,64.1669,4560.355,5130.929,,14.53,12495.57,,337.1951,,,,17.8,115.9,3932.0,351.2358,1227.2,18479.15,,303.6,,2346.571,38771.84,8.927398,3845.0,,,38220.87,20030.13,1168.7,410126.3,9071.165,217.3339,2477.74,21634.0,72.04455,90.7004,,310.5617,547061.7,16514.56,,551.0512,1295.063,3504.5,3141.0,3063.547,1325.516,140.3761,2638.9,20748.41,244.27,284.3169,28460.22,312.8,175.3559,,11854.18,671.3962,17866.32,646.8839,147.63,,585.273,773.8949,188.3561,985.7915,,24.1,6291.5,288672.7,,99.78,,,,47.7,6652.978,3022.961,77.9,,2669.445,1106.929,,,235.0,625.34,2571.4,2736.163,2921.028,368.264,,1064.3,6707.0,4195.575,,11204.44,280.5,,795.111,587.6657,5725.314,23.70717,6086.672,750.9228,4319.0,203235.7,85.4,,256.197,59678.9,604.0,763.3242,744285.3,8.565,,59.32923
1996M01,81.1445,291136.9,1682.0,47.6,4852.936,5225.974,,16.12,13268.36,,900.4197,,,,17.98,98.2,3440.0,276.4875,1461.6,10108.87,,378.2,,2064.971,38577.7,10.38665,3675.0,,,29669.41,16677.6,1002.1,373674.5,8966.199,196.1801,2337.045,23422.0,80.44691,52.2352,,304.1281,550444.0,16852.83,226.577,497.751,1312.959,3184.4,3410.0,3288.921,1089.881,126.906,2593.1,19104.52,256.68,324.828,28070.56,376.8,236.9714,,12114.4,658.9608,17890.54,569.9788,154.09,,442.9194,794.8585,162.6056,801.9212,,23.8,6475.3,262309.9,,132.72,,,,43.21,6766.901,2171.965,83.8,16060.43,2735.565,1090.109,,,232.3,628.89,2236.09,2647.586,2820.51,333.125,,852.8,4733.0,4551.757,,10938.81,252.4,,767.862,443.2748,5215.622,22.15481,6303.228,610.9884,3154.532,190376.8,94.76,1476.8,242.343,61909.4,625.0,885.3947,712599.8,9.5,,62.45861
1996M02,83.35053,283457.6,1522.0,64.8,4688.899,5711.498,,12.6,13636.83,,999.0421,,,,19.34,109.2,3435.0,247.9749,1275.4,8110.648,,334.7,,2113.827,36583.09,9.937048,3636.0,,,25595.56,17496.2,962.2,281515.9,9722.131,197.2605,2581.579,22852.0,66.81608,76.3134,,289.278,536034.0,12414.56,213.5805,475.1799,1426.655,2869.9,2962.0,3130.614,1252.771,125.2385,2481.2,19299.5,206.08,263.4749,28213.41,295.5,245.0806,,11531.82,663.9219,17144.01,516.4355,201.66,,474.9739,797.5728,172.324,716.4091,,25.4,6622.1,195793.7,,108.27,,,,70.7,5394.504,2124.114,75.6,15577.41,2843.828,1138.676,,,210.6,535.31,2359.58,2678.855,2872.165,269.178,,808.2,5719.0,3960.021,,10066.5,250.1,,1032.49,552.1194,5502.222,24.16146,5767.324,645.2312,2860.523,129810.0,118.36,1391.1,205.613,60579.5,467.0,941.6476,618840.8,7.193,,64.02562
1996M03,85.55655,301693.1,1782.0,46.5,4841.481,5787.873,,17.01,14625.48,,1073.077,,,581.6866,22.74,115.3,3876.0,269.3936,1348.1,11120.3,,320.7,,2266.235,39611.35,10.15129,3966.0,,,31888.28,19276.94,1153.4,281430.3,9809.531,220.6145,2669.841,24019.0,68.75699,70.0105,,324.7996,570493.0,15624.13,192.6116,598.862,1443.771,3563.1,3480.0,3352.351,1172.396,159.0555,2608.8,20167.49,218.24,338.1992,28254.13,312.0,248.5392,,12180.94,669.9919,18682.33,696.4205,142.24,,601.4979,914.5903,198.8013,811.1648,,25.6,6838.7,195131.5,,157.44,,,,39.8,6943.733,2088.801,91.4,16911.17,3026.754,1135.931,,,237.0,617.52,2760.47,2849.8,3156.9,298.669,,922.2,5916.0,4646.933,,11654.09,285.7,,811.727,629.8682,5914.405,23.46315,6465.322,643.1761,3742.74,119439.4,85.43,1611.2,254.545,63363.3,656.0,824.2759,642079.0,8.176,,66.90472
