Unnamed: 0,Afghanistan,Angola,Albania,Advanced Economies,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guatemala,Guyana,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,"Lao, PDR",EMDE Latin America & Caribbean,Lebanon,Liberia,Libya,St. Lucia,Low-Income Countries (LIC),Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Madagascar,Maldives,Mexico,Middle-Income Countries (MIC),North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,EMDE Middle East & N. Africa,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,EMDE South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,EMDE Sub-Saharan Africa,Sao Tome and Principe,Suriname,Slovakia,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Tonga,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, China","Tanzania, United Rep.",Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",Viet Nam,Vanuatu,World (WBG members),Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994.0,38.81833,122750.8,104.3122,36.24998,3.674759,0.998998,288.6508,2.699279,1.36714,0.831726,0.280149,255.5025,0.831726,555.2058,555.2058,39.89553,0.054118,0.377054,1.0,,0.000742,2.0,4.615343,0.638295,2.005191,1.531239,31.40005,2.671815,545.2111,1.365952,1.367048,420.1979,8.610021,545.2111,555.2058,0.02568,0.02,826.3513,416.1147,81.89083,156.233,0.831726,28.71848,0.831726,177.721,2.7,6.354598,13.08502,35.04934,374.2487,8.941318,1.0,3.379747,,5.469819,0.831726,0.831726,5.228127,0.831726,1.463454,0.831726,1.0,555.2058,0.653048,1.992326,0.090295,979.3812,9.223194,555.2045,555.2058,0.831726,2.7,5.743894,138.2903,36.81775,7.728617,8.211938,0.831726,14.32288,105.1999,2158.766,31.40005,0.831726,1747.971,2002.387,69.96612,2.988876,0.831726,32.82138,0.699255,102.1998,34.66547,55.92481,10.9269,2545.25,1.367751,2.7,801.4042,0.298336,717.6667,79.98045,1680.08,46.4387,0.348368,2.7,,49.17101,3.548696,0.831726,0.831726,0.831726,9.154454,4.145382,545.079,11.53653,3.384736,,,555.2058,0.831726,5.974913,,400.6506,,5.823518,122.1226,17.9946,7.913109,2.6237,3.548696,555.2058,21.9947,6.691447,0.831726,7.054266,48.29052,1.685766,0.38502,30.54292,1.0,2.196081,26.31892,,1.071786,2.273268,0.831726,1867.659,1.0,3.642349,0.165208,2.194338,141.5105,32.66241,3.752298,0.288265,555.2058,1.527152,3.25368,575.3561,8.722047,1612.446,8007.394,,,0.732667,0.223758,0.831726,0.831726,7.708281,3.548696,5.042479,11.225,555.2058,555.2058,25.15926,0.024494,19.19833,1.368041,5.675673,1.017176,0.029904,26.43539,512.4533,942.3165,0.364408,5.054092,1.0,52.00397,2.7,0.146398,10945.17,115.0205,,2.531326,,30.28067,3.548696,0.67157,
1995.0,36.5675,516812.7,101.889,34.35895,3.672901,1.000783,405.9083,2.699899,1.349536,0.754546,0.994181,246.7279,0.754546,499.15,499.15,39.94192,0.067182,0.377,1.0,,0.001183,2.0,4.806645,0.916864,2.010338,1.417568,32.41393,2.766063,498.4525,1.372213,1.181657,396.8102,8.351316,498.4525,499.15,0.16879,0.070833,912.5887,374.1015,76.85333,179.6784,0.754546,26.45389,0.754546,177.721,2.7,5.602943,13.72334,47.18998,381.1464,12.55257,1.0,3.394015,,6.163765,0.754546,0.754546,5.885337,0.754546,1.406098,0.754546,1.0,499.15,0.633476,1.522812,0.119595,-193765.9,9.49404,499.1483,499.15,0.754546,2.7,5.786688,141.9892,34.9677,7.73472,9.322604,0.754546,18.86113,125.6555,2243.652,32.41393,0.754546,2492.591,2002.387,64.70233,3.008456,0.754546,34.94191,0.700057,94.05987,61.00108,51.3327,10.81717,2450.833,1.349032,2.7,768.6489,0.298617,804.6908,84.70888,1620.912,49.83833,0.418145,2.7,,50.83521,3.625699,0.754546,0.754546,0.754546,8.497783,4.495744,787.5556,11.72,6.411974,,,499.15,0.754546,5.667042,,431.7981,,8.764123,128.5093,17.72905,15.16608,2.506637,3.625699,499.15,21.97692,7.516208,0.754546,6.335676,50.50358,1.52379,0.385082,31.62023,1.0,2.252892,25.67634,,1.279573,2.41369,0.754546,1876.751,1.0,3.640729,0.203321,4.558777,202.5231,33.61869,3.750883,0.578165,499.15,1.416833,3.25946,740.8527,8.722531,1628.934,9641.155,,,1.420417,0.441693,0.754546,0.754546,7.135,3.625699,4.779408,11.225,499.15,499.15,24.91782,0.122859,110.9167,1.317796,5.806744,0.942657,0.045993,26.45943,561.8346,957.5334,1.503331,6.319777,1.0,35.30862,2.7,0.176208,11005.64,111.877,,2.469784,,12.0,3.625699,0.854549,
1996.0,47.5,110941.4,101.8028,36.87507,3.672184,1.000144,414.0408,2.699928,1.277522,0.774461,0.862322,269.0391,0.774461,511.5517,511.5517,41.40094,0.178242,0.377,1.0,,0.001438,2.0,5.083509,1.004734,2.010382,1.409886,35.39531,3.312563,511.2569,1.363538,1.236244,412.2705,8.314231,511.2569,511.5517,1.338596,0.501667,1035.934,383.3982,82.59147,207.8522,0.774461,27.14368,0.774461,177.721,2.7,5.796412,13.78864,54.5089,387.6693,36.02547,1.0,3.396086,,6.357275,0.774461,0.774461,6.189673,0.774461,1.403071,0.774461,1.0,511.5517,0.640542,1.256133,0.163479,997.5312,9.800371,511.5523,511.5517,0.774461,2.7,6.088241,140.375,37.50612,7.734012,11.48801,0.774461,15.84056,152.1507,2327.331,35.39531,0.774461,3000.0,2002.387,66.5311,3.185648,0.774461,36.92608,0.709333,108.7941,67.2718,56.50295,12.76529,2624.083,1.277863,2.7,801.4743,0.299524,921.0217,93.79419,1571.877,46.8375,0.4368,2.7,,55.15848,4.297124,0.774461,0.774461,0.774461,8.686551,4.609594,769.4068,11.72,7.59371,,,511.5517,0.774461,5.917567,,464.8713,,11.05769,136.8589,19.62583,15.21854,2.515131,4.297124,511.5517,21.9229,8.405404,0.774461,6.454475,56.23779,1.454165,0.384989,36.02613,1.0,2.4487,26.20285,,1.318893,2.695656,0.774461,2040.461,1.0,3.640959,0.308276,5.123481,254.5028,36.77694,3.750893,1.244956,511.5517,1.409697,3.519796,902.9986,8.744298,1542.947,11274.92,,,2.203167,0.39927,0.774461,0.774461,6.705303,4.297124,4.982745,11.225,511.5517,511.5517,25.34846,0.2955,3257.667,1.228047,5.91467,0.976596,0.081663,27.44506,552.4269,1034.597,1.831913,7.892848,1.0,40.0468,2.7,0.416025,11017.34,111.5069,,2.466463,,63.3997,4.297124,1.188577,
1997.0,47.5,228814.8,148.6727,42.73097,3.672193,0.999992,490.8467,2.696925,1.347961,0.884346,0.797781,327.3213,0.884346,583.6708,583.6708,43.51249,1.589017,0.377,1.0,1.715731,0.012014,2.0,5.252101,1.077677,2.011,1.47869,36.32046,3.635113,583.2923,1.384866,1.45041,419.241,8.289856,583.2923,583.6708,3.828133,1.314167,1140.798,436.1262,93.17667,232.6354,0.884346,31.68028,0.884346,177.721,2.7,6.604519,14.17362,57.61363,440.3198,45.08094,1.0,3.392245,,6.758822,0.884346,0.884346,6.494052,0.884346,1.442449,0.884346,1.0,583.6708,0.610184,1.297432,0.203571,1077.63,10.02055,583.6692,583.6708,0.884346,2.7,6.040533,142.4008,43.20706,7.742839,12.98702,0.884346,16.47009,186.7131,2879.775,36.32046,0.884346,3000.0,2002.387,70.76866,3.442525,0.884346,35.24047,0.708018,121.0616,75.44886,58.88013,17.3685,2946.25,1.34738,2.7,948.9998,0.303436,1259.979,100.981,1539.363,50.57,0.460866,2.7,,58.92144,4.606554,0.884346,0.884346,0.884346,9.495441,4.624374,925.5804,11.72898,7.91918,,46.93472,583.6708,0.884346,6.241833,,643.2898,,11.29327,151.1429,20.95632,16.27818,2.815463,4.606554,583.6708,21.8902,9.413841,0.884346,7.078857,57.03794,1.51343,0.385,41.05596,1.0,2.660036,29.56925,,1.437601,3.277342,0.884346,2163.663,1.0,3.64066,0.711152,5.783412,303.3303,38.32064,3.750973,1.56839,583.6708,1.485407,3.661672,962.5773,8.754148,1703.098,12908.68,5.912,,4.5525,0.39927,0.884346,0.884346,7.639589,4.606554,5.031991,11.225,583.6708,583.6708,30.99278,0.562333,4143.417,1.260884,6.159568,1.104341,0.152406,28.65708,603.9837,1070.106,1.861524,9.376761,1.0,66.44016,2.7,0.48694,11667.96,115.8155,,1.356314,,121.5939,4.606554,1.297396,
1998.0,47.5,273251.9,152.4996,57.49917,3.673,1.0,504.915,2.697102,1.591508,0.898666,0.773661,383.6216,0.898666,589.9525,589.9525,46.54472,1.754463,0.376992,1.0,1.74106,0.004647,2.0,5.51542,1.160159,2.011034,1.671438,41.23745,4.213878,589.5096,1.483375,1.449964,460.1817,8.27909,589.5096,589.9525,4.105668,1.6075,1425.417,444.5627,98.1575,256.6356,0.898666,32.25831,0.898666,177.721,2.7,6.701899,15.17376,58.75077,991.4478,53.74172,1.0,3.407836,,7.361933,0.898666,0.898666,6.963732,0.898666,1.969878,0.898666,1.0,589.9525,0.603511,1.391571,0.231976,1229.96,10.62553,589.9516,589.9525,0.898666,2.7,6.368291,150.5192,57.51897,7.746538,13.40694,0.898666,16.91936,214.2937,10193.98,41.23745,0.898666,2967.532,2002.387,70.99836,3.793405,0.898666,36.20309,0.708654,130.7625,78.29198,60.34299,20.72089,3744.417,1.591828,2.7,1398.074,0.304797,3298.333,122.417,1515.655,41.5075,0.467574,2.7,,64.65972,5.528227,0.898666,0.898666,0.898666,9.585367,5.373974,1041.772,11.76947,9.144253,,54.70955,589.9525,0.898666,6.343158,,814.7779,,11.76162,186.8626,23.89479,30.86096,3.920548,5.528227,589.9525,21.89,10.55044,0.898666,7.550207,62.11449,1.867808,0.384988,47.26984,1.0,2.925183,40.75719,,2.07334,3.491285,0.898666,2702.189,1.0,3.640982,0.886853,9.938847,325.9846,43.22669,3.751251,1.998648,589.9525,1.671595,4.458762,1533.52,8.755222,1736.207,14542.44,8.143125,,6.88325,0.39927,0.898666,0.898666,7.954721,5.528227,5.253524,11.225,589.9525,589.9525,41.22878,0.776625,4890.167,1.484237,6.178172,1.132477,0.261689,33.38353,650.9714,1235.383,2.44732,10.46059,1.0,94.48048,2.7,0.545486,13255.24,127.8731,,0.341372,,129.9111,5.528227,1.818064,
1999.0,46.62167,168333.9,137.4677,49.29858,3.672881,0.999656,535.0617,2.697299,1.549667,0.938529,0.82484,557.6646,0.938529,615.6733,615.6733,48.95126,1.82813,0.377,1.0,1.816364,0.025011,2.0,5.790555,1.814313,1.986112,1.692538,43.05785,4.611682,615.2676,1.48534,1.501994,509.075,8.278342,615.2676,615.6733,4.34957,4.018333,1758.157,455.6788,102.7,283.9584,0.938529,34.61785,0.938529,177.721,2.7,6.979607,15.91855,66.13413,843.2087,65.45033,1.0,3.416931,,8.152633,0.938529,0.938529,7.760558,0.938529,1.969875,0.938529,1.0,615.6733,0.618137,2.016335,0.267476,1337.536,11.49755,615.6737,615.6733,0.938529,2.7,7.326817,177.995,50.01508,7.759045,14.23907,0.938529,16.96641,237.1898,7854.986,43.05785,0.938529,1962.453,2002.39,72.38979,4.138202,0.938529,38.89512,0.710064,113.7488,119.6641,70.33253,38.90442,3807.833,1.54995,2.7,1188.284,0.304404,7102.025,146.0383,1505.053,41.9025,0.463811,2.7,,70.62661,6.112958,0.938529,0.938529,0.938529,9.794806,10.50421,1214.513,11.42382,9.556952,,57.13469,615.6733,0.938529,6.285792,0.938583,988.8933,,12.64416,209.2126,25.14816,43.93182,3.800031,6.112958,615.6733,94.50989,11.74696,0.938529,7.799314,68.11184,1.889344,0.384982,51.28692,1.0,3.382244,39.08863,,2.578299,3.966014,0.938529,3115.064,1.0,3.640631,1.529019,24.85553,332.7068,45.47809,3.750758,2.513717,615.6733,1.694527,4.888571,1769.629,8.724809,0.9375,16176.2,10.91446,,7.119,0.833476,0.938529,0.938529,8.264575,6.112958,5.328385,11.225,615.6733,615.6733,37.84463,1.237792,5200.0,1.612605,6.182021,1.185333,0.421006,32.25362,739.1883,1456.061,4.197832,11.32693,1.0,124.6243,2.7,0.605929,13934.26,129.1716,,0.694723,,145.2801,6.112958,2.433617,
2000.0,47.35667,9.427331,143.8515,47.04896,3.672996,0.999891,539.5258,2.688208,1.725241,1.085006,0.894907,712.6684,1.085006,711.8317,711.8317,52.16336,2.113764,0.377,1.0,2.105333,0.071688,2.0,6.149924,1.829969,1.98448,1.724425,44.94066,5.098601,711.7788,1.48509,1.688186,539.6039,8.278492,711.7788,711.8317,19.88584,21.81833,2090.223,531.3661,115.8766,307.1207,1.085006,38.61618,1.085006,177.721,2.7,8.087996,15.95212,73.93433,887.5982,72.19648,1.0,3.538031,,9.625,1.085006,1.085006,8.094938,1.085006,2.127062,1.085006,1.0,711.8317,0.660666,1.974405,0.559407,1668.551,13.04138,711.8318,711.8317,1.085006,2.7,7.756432,182.43,48.14174,7.792159,14.82031,1.085006,21.16805,282.4244,8404.046,44.94066,1.085006,1751.348,2002.403,78.84064,4.078275,1.085006,42.41715,0.710447,107.8014,142.1909,76.18743,47.72159,3840.75,1.724827,2.7,1131.499,0.306873,7887.643,168.0783,1510.783,40.9025,0.51219,2.7,,76.82271,6.942925,1.085006,1.085006,1.085006,10.62598,12.44688,1319.522,11.698,9.460305,,65.19079,711.8317,1.085006,6.516725,1.085175,1073.665,,15.5695,239.2173,26.19712,59.38487,3.800035,6.942925,711.8317,104.9727,12.25665,1.085006,8.802373,71.04474,2.201445,0.385,53.91906,1.0,3.48843,44.25936,,2.760973,4.344703,1.085006,3490.637,1.0,3.640606,2.169302,28.1542,353.8024,47.67237,3.750846,2.563164,711.8317,1.724528,5.078504,2051.749,8.737525,1.085833,17809.96,39.56,,7.978167,1.32175,1.085006,1.085006,9.168,6.942925,5.699484,11.225,711.8317,711.8317,40.1867,2.07625,5200.0,1.745578,6.226932,1.370274,0.625077,31.2372,800.0615,1648.146,5.471941,12.10027,1.0,236.4215,2.7,0.679871,14166.81,137.8611,,3.274839,,159.697,6.942925,3.27304,
2001.0,47.49667,21.18326,143.6285,53.33309,3.672996,0.999886,555.0775,2.67911,1.933352,1.116861,0.930965,820.9651,1.116861,732.8992,732.8992,55.94687,2.176986,0.377,1.0,2.172686,0.138286,2.0,6.608262,2.350971,1.989519,1.791934,47.17988,5.837526,732.5576,1.548831,1.687183,635.2008,8.277149,732.5576,732.8992,196.3631,206.6175,2299.944,549.7859,123.2133,328.9421,1.116861,38.01379,1.116861,177.721,2.7,8.323718,16.30078,75.09137,1032.111,77.0837,1.0,4.051968,,11.30945,1.116861,1.116861,8.335794,1.116861,2.276061,1.116861,1.0,732.8992,0.694254,2.072873,0.730594,1920.538,16.20915,732.8998,732.8992,1.116861,2.7,7.837255,187.3208,54.57313,7.799493,15.4581,1.116861,24.27723,286.5553,10256.08,47.17988,1.116861,1752.552,2002.405,97.69443,4.207035,1.116861,45.73703,0.710334,121.5112,146.7871,78.54583,48.4401,3916.333,1.933443,2.7,1289.604,0.306618,8954.583,188.3918,1511.834,48.59191,0.605064,2.7,,89.42545,8.615467,1.116861,1.116861,1.116861,11.29871,12.86109,1293.981,11.73862,9.336382,,67.34675,732.8992,1.116861,6.748908,1.1173,1097.567,,20.58492,255.0494,29.1015,72.27522,3.800308,8.615467,732.8992,115.623,13.35465,1.116861,8.986244,75.12451,2.378761,0.38498,61.72526,1.0,3.506501,50.96293,,3.3631,4.094145,1.116861,4109.405,1.0,3.640569,2.905364,29.20034,420.155,50.96059,3.750512,2.572601,732.8992,1.792073,5.280893,1947.793,8.751276,1.116667,19443.72,66.37108,,8.842083,2.17519,1.116861,1.116861,10.33662,8.615467,5.865,11.225,732.8992,732.8992,44.49055,2.372192,5200.0,2.16478,6.151704,1.438051,1.231946,33.80482,877.7072,1757.001,5.371607,13.3028,1.0,423.0287,2.7,0.723864,14800.18,145.723,,3.517049,,166.3495,8.615467,3.666345,
2002.0,47.26,42.13728,140.2128,52.43934,3.672996,3.09818,573.3533,2.695356,1.839996,1.060727,0.972097,918.0241,1.060727,696.3817,696.3817,57.50228,2.068852,0.376996,1.0,2.063106,0.17834,2.0,7.169328,2.921882,1.990103,1.791837,48.59392,6.320055,696.6725,1.570065,1.556103,689.3298,8.277019,696.6725,696.3817,342.2179,346.485,2507.97,520.0843,117.2558,359.6596,1.060727,32.70899,1.060727,177.721,2.7,7.883068,17.8398,78.19056,975.9195,90.02026,1.0,4.628127,,13.9582,1.060727,1.060727,8.42886,1.060727,2.181063,1.060727,1.0,696.3817,0.666393,2.193968,0.794288,1969.719,19.62111,696.3813,696.3817,1.060727,2.7,7.823462,190.665,53.90817,7.799601,16.42794,1.060727,28.72014,257.6781,9319.032,48.59392,1.060727,6397.503,2002.373,91.55617,4.737559,1.060727,48.39701,0.708261,125.2378,153.2829,78.73015,46.93958,3912.083,1.840563,2.7,1249.955,0.304018,10056.33,214.0245,1513.132,61.75417,1.270679,2.7,,95.61231,10.50244,1.060727,1.060727,1.060727,11.02341,13.57441,1299.795,11.9421,9.666311,,64.03629,696.3817,1.060727,6.642083,1.061625,1103.809,,23.27155,273.2109,29.95288,76.21234,3.800449,10.50244,696.3817,122.3799,14.21896,1.060727,7.98091,77.24381,2.160352,0.384992,59.54147,1.0,3.516692,51.60771,,3.878456,4.078998,1.060727,5714.212,1.0,3.640944,3.305855,31.38375,467.6807,52.12654,3.750105,2.58475,696.3817,1.79071,6.662652,2058.614,8.74547,1.061667,21077.48,64.40525,,9.088333,2.345712,1.060727,1.060727,9.716934,10.50244,5.621681,11.225,696.3817,696.3817,43.00239,2.764133,,2.240313,6.113383,1.421417,1.515001,34.53488,966.5857,1803.692,5.326749,21.13171,1.0,769.4072,2.7,1.16177,15266.81,139.2535,,3.427292,1.061628,174.7641,10.50244,4.486478,
2003.0,48.76333,73.68965,121.2606,49.5768,3.673,2.947487,578.7625,2.668473,1.540424,0.885048,0.976624,1055.337,0.885048,581.0592,581.0592,58.24018,1.727654,0.377,1.0,1.723684,0.204642,2.0,7.647196,3.077289,1.989982,1.74188,46.57471,4.948094,582.0475,1.400429,1.344777,690.577,8.277098,582.0475,581.0592,400.8343,405.1792,2876.913,433.4964,97.7875,398.322,0.885048,28.19233,0.885048,177.721,2.7,6.577046,29.18297,76.66543,928.5209,93.68576,1.0,5.879147,,13.87789,0.885048,0.885048,8.462025,0.885048,1.889659,0.885048,1.0,581.0592,0.612149,2.138336,0.861614,1980.247,27.07617,581.0612,581.0592,0.885048,2.7,7.922605,193.8783,51.11068,7.787172,17.32307,0.885048,39.65249,224.3051,8573.788,46.57471,0.885048,8107.914,2026.333,76.68879,4.548483,0.885048,57.14932,0.709165,115.9272,149.1864,75.95249,43.92109,3973.333,1.541914,2.7,1191.873,0.29812,10569.04,240.037,1510.528,59.37883,1.292944,2.7,,96.5086,7.546392,0.885048,0.885048,0.885048,9.585386,13.87593,1200.163,12.6871,10.79743,,53.44189,581.0592,0.885048,6.138925,0.885842,1121.703,,23.36621,264.1062,28.00254,96.3737,3.8,7.546392,581.0592,133.0417,14.98488,0.885048,7.078966,75.30319,1.720939,0.385,57.71377,1.0,3.478404,54.21943,,3.549453,3.887555,0.885048,6471.836,1.0,3.640566,3.322325,30.6831,524.0089,50.45024,3.750124,2.591662,581.0592,1.742493,7.323479,2302.732,8.744175,0.885833,22711.24,57.59,,9.3475,2.601078,0.885048,0.885048,8.07742,7.546392,5.440115,11.225,581.0592,581.0592,41.53441,3.061367,,2.193165,6.150837,1.287864,1.504578,34.40499,1038.181,1963.898,5.33096,28.15112,1.0,967.0465,2.7,1.610706,15508.93,121.8598,,3.040193,0.885822,177.8404,7.546392,4.785115,
2004.0,47.84583,83.41305,102.6974,47.29378,3.673318,2.941212,533.4517,2.680006,1.359153,0.804706,0.984235,1074.728,0.804706,528.1233,528.1233,59.31806,1.572305,0.377,1.0,1.574315,0.216497,2.0,7.936509,2.926278,1.990707,1.690138,45.30096,4.686265,528.5464,1.301207,1.242523,609.1951,8.276925,528.5464,528.1233,400.0049,399.4767,2627.444,395.9825,88.74792,438.2841,0.804706,25.68242,0.804706,177.721,2.7,5.987385,40.38536,72.0536,958.4632,91.09501,1.0,6.205111,,13.7875,0.804706,0.804706,8.635842,0.804706,1.729161,0.804706,1.0,528.1233,0.545796,1.914675,0.896959,2303.908,29.51293,528.1226,528.1233,0.804706,2.7,7.954487,198.3075,48.5048,7.788676,18.20208,0.804706,36.18936,202.4814,8933.433,45.30096,0.804706,8611.814,1453.417,70.1646,4.480441,0.804706,60.6847,0.709138,108.1511,135.9826,79.19151,42.6387,4016.25,1.359752,2.7,1145.446,0.294946,10585.38,220.1976,1514.268,54.90583,1.304966,2.7,,101.1932,6.439562,0.804706,0.804706,0.804706,8.870381,12.21335,1711.964,12.79929,11.28946,,49.85719,528.1233,0.804706,5.805833,0.805108,1186.607,,22.14928,258.677,27.52894,108.3868,3.8,6.439562,528.1233,133.919,15.82816,0.804706,6.739767,72.44005,1.50802,0.385,58.36255,1.0,3.412594,56.049,,3.182736,3.647509,0.804706,5976.76,1.0,3.641126,3.264298,28.80525,560.293,49.7333,3.750057,2.581962,528.1233,1.690271,7.533229,2649.253,8.752433,0.805,24345.0,58.37575,,9.902333,2.735,0.804706,0.804706,7.34514,6.439562,5.26738,11.225,528.1233,528.1233,40.25911,2.970508,,2.015302,6.185644,1.244704,1.42978,33.41655,1089.191,1811.514,5.323488,28.6927,1.0,1018.995,2.7,1.884667,15740.44,111.9005,,2.776636,0.805118,183.3542,6.439562,4.763412,
2005.0,49.495,87.14391,99.84388,43.76803,3.67311,2.922429,457.6875,2.682317,1.312006,0.804595,0.947951,1059.668,0.804595,527.79,527.79,64.13773,1.574279,0.377,1.0,1.574221,0.215614,2.0,8.060176,2.435281,1.992015,1.664534,44.09727,5.103464,528.1847,1.211619,1.246067,559.5992,8.193666,528.1847,527.79,476.358,473.9092,2321.304,395.9741,88.64617,478.0301,0.804595,23.96243,0.804595,177.721,2.7,5.996605,29.38621,72.56236,1015.479,93.22435,1.0,5.791322,,15.36792,0.804595,0.804595,8.687484,0.804595,1.689155,0.804595,1.0,527.79,0.550085,1.811398,0.905387,3579.462,28.49582,527.7898,527.79,0.804595,2.7,7.642345,199.875,44.9051,7.777605,18.82312,0.804595,39.52876,199.6498,9707.895,44.09727,0.804595,8960.63,1472.0,62.87685,4.48692,0.804595,62.03004,0.708869,110.1454,132.8928,75.50261,41.01983,4092.5,1.309473,2.7,1024.087,0.292,10655.17,202.8436,1508.409,57.09583,1.308385,2.7,,100.4508,6.36407,0.804595,0.804595,0.804595,8.869223,12.57741,2022.263,12.81499,10.89445,,49.26845,527.79,0.804595,5.818167,0.8046,1201.699,,22.835,264.3254,29.38753,118.0587,3.787068,6.36407,527.79,132.2129,16.35753,0.804595,6.445492,70.93428,1.420339,0.385012,59.59694,1.0,3.295881,55.04491,1.0,3.059676,3.235343,0.804595,6175.387,1.0,3.640635,2.91375,28.29264,545.9344,49.26749,3.750332,2.439119,527.79,1.664452,7.507257,2833.874,8.750717,0.804167,25978.76,66.718,,10.55792,2.729852,0.804595,0.804595,7.475822,6.36407,5.294215,11.225,527.79,527.79,40.25839,3.116567,,1.951981,6.265362,1.296866,1.347334,32.1657,1125.912,1780.704,5.104416,24.43431,1.0,1111.993,2.7,2.107185,15855.65,110.5277,,2.70053,0.804612,181.7655,6.36407,4.420598,
